Inglés,Español,Module,Sección,
Status,Estatus,module,Dotdigitalgroup_Email,55
Status,Estatus,module,Fastly_Cdn,55
Status,Estatus,module,Magento_Backend,55
Status,Estatus,module,Magento_Banner,55
Status,Estatus,module,Magento_CatalogEvent,55
Status,Estatus,module,Magento_Catalog,55
Status,Estatus,module,Magento_CheckoutAgreements,55
Status,Estatus,module,Magento_Cms,55
Status,Estatus,module,Magento_Company,55
Status,Estatus,module,Magento_ConfigurableProduct,55
Status,Estatus,module,Magento_CustomerSegment,55
Status,Estatus,module,Magento_Customer,55
Status,Estatus,module,Magento_Downloadable,55
status,Estatus,module,Magento_Fedex,55
Status,Estatus,module,Magento_GiftCardAccount,55
Status,Estatus,module,Magento_GiftRegistry,55
Status,Estatus,module,Magento_GiftWrapping,55
Status,Estatus,module,Magento_GroupedProduct,55
Status,Estatus,module,Magento_ImportExport,55
Status,Estatus,module,Magento_Invitation,55
Status,Estatus,module,Magento_NegotiableQuote,55
Status,Estatus,module,Magento_Paypal,55
Status,Estatus,module,Magento_Reminder,55
Status,Estatus,module,Magento_Review,55
Status,Estatus,module,Magento_Rma,55
Status,Estatus,module,Magento_SalesRule,55
Status,Estatus,module,Magento_Sales,55
Status,Estatus,module,Magento_ScheduledImportExport,55
Status,Estatus,module,Magento_Support,55
Status,Estatus,module,Magento_TargetRule,55
status,Estatus,module,Magento_Ups,55
Status,Estatus,module,Magento_UrlRewrite,55
Status,Estatus,module,Magento_User,55
Status,Estatus,module,Magento_AsynchronousOperations,55
Status,Estatus,module,Magento_BannerPageBuilder,55
Status,Estatus,module,Magento_Braintree,55
Status,Estatus,module,Magento_BundleStaging,55
Status,Estatus,module,Magento_Bundle,55
Status,Estatus,module,Magento_CatalogRuleStaging,55
Status,Estatus,module,Magento_CatalogRule,55
Status,Estatus,module,Magento_CatalogStaging,55
Status,Estatus,module,Magento_CmsStaging,55
Status,Estatus,module,Magento_ConfigurableProductStaging,55
Status,Estatus,module,Magento_GroupedProductStaging,55
Status,Estatus,module,Magento_Indexer,55
Status,Estatus,module,Magento_Integration,55
Status,Estatus,module,Magento_MultipleWishlist,55
Status,Estatus,module,Magento_Newsletter,55
Status,Estatus,module,Magento_PageBuilder,55
Status,Estatus,module,Magento_ReviewStaging,55
Status,Estatus,module,Magento_SalesArchive,55
Status,Estatus,module,Magento_SalesRuleStaging,55
Status,Estatus,module,Magento_SharedCatalog,55
Status,Estatus,module,Magento_Staging,55
Status,Estatus,module,Temando_Shipping,55
Id,ID,module,Fastly_Cdn,55
ID,ID,module,Magento_AdvancedCheckout,55
ID,ID,module,Magento_Banner,55
ID,ID,module,Magento_Bundle,55
ID,ID,module,Magento_CatalogRule,55
ID,ID,module,Magento_Catalog,55
ID,ID,module,Magento_CheckoutAgreements,55
ID,ID,module,Magento_Cms,55
ID,ID,module,Magento_CustomerSegment,55
ID,ID,module,Magento_Customer,55
ID,ID,module,Magento_GiftCardAccount,55
ID,ID,module,Magento_GiftRegistry,55
ID,ID,module,Magento_GroupedProduct,55
ID,ID,module,Magento_Newsletter,55
ID,ID,module,Magento_Paypal,55
ID,ID,module,Magento_Reminder,55
ID,ID,module,Magento_Reports,55
ID,ID,module,Magento_Review,55
ID,ID,module,Magento_Rma,55
ID,ID,module,Magento_SalesRule,55
ID,ID,module,Magento_Sales,55
ID,ID,module,Magento_Support,55
Id,ID,module,Magento_Support,55
ID,ID,module,Magento_UrlRewrite,55
Id,ID,module,Dotdigitalgroup_Email,55
ID,ID,module,Dotdigitalgroup_Email,55
ID,ID,module,Magento_AdvancedSearch,55
ID,ID,module,Magento_AsynchronousOperations,55
ID,ID,module,Magento_BannerPageBuilder,55
ID,ID,module,Magento_BundleStaging,55
ID,ID,module,Magento_CatalogEvent,55
ID,ID,module,Magento_CatalogRuleStaging,55
ID,ID,module,Magento_CatalogStaging,55
ID,ID,module,Magento_CmsStaging,55
ID,ID,module,Magento_Company,55
ID,ID,module,Magento_ConfigurableProductStaging,55
ID,ID,module,Magento_ConfigurableProduct,55
ID,ID,module,Magento_Email,55
ID,ID,module,Magento_GiftWrapping,55
ID,ID,module,Magento_GroupedProductStaging,55
ID,ID,module,Magento_ImportExport,55
ID,ID,module,Magento_InventoryAdminUi,55
ID,ID,module,Magento_Invitation,55
ID,ID,module,Magento_NegotiableQuote,55
ID,ID,module,Magento_PageBuilder,55
ID,ID,module,Magento_ReviewStaging,55
ID,ID,module,Magento_Reward,55
ID,ID,module,Magento_SalesArchive,55
ID,ID,module,Magento_SalesRuleStaging,55
ID,ID,module,Magento_Search,55
ID,ID,module,Magento_SharedCatalog,55
ID,ID,module,Magento_Sitemap,55
ID,ID,module,Magento_TargetRule,55
ID,ID,module,Magento_Theme,55
ID,ID,module,Magento_User,55
Delete,Borrar,module,Fastly_Cdn,43
Delete,Borrar,module,Magento_Backend,43
Delete,Borrar,module,Magento_Banner,43
Delete,Borrar,module,Magento_Braintree,43
Delete,Borrar,module,Magento_Bundle,43
Delete,Borrar,module,Magento_CatalogStaging,43
Delete,Borrar,module,Magento_Catalog,43
Delete,Borrar,module,Magento_Cms,43
Delete,Borrar,module,Magento_Company,43
Delete,Borrar,module,Magento_Config,43
Delete,Borrar,module,Magento_Customer,43
Delete,Borrar,module,Magento_Downloadable,43
Delete,Borrar,module,Magento_GiftCardAccount,43
Delete,Borrar,module,Magento_GiftCard,43
Delete,Borrar,module,Magento_GiftRegistry,43
Delete,Borrar,module,Magento_ImportExport,43
Delete,Borrar,module,Magento_NegotiableQuote,43
Delete,Borrar,module,Magento_RequisitionList,43
Delete,Borrar,module,Magento_Review,43
Delete,Borrar,module,Magento_Rma,43
Delete,Borrar,module,Magento_SalesRule,43
Delete,Borrar,module,Magento_Search,43
Delete,Borrar,module,Magento_SharedCatalog,43
Delete,Borrar,module,Magento_Shipping,43
Delete,Borrar,module,Magento_Support,43
Delete,Borrar,module,Magento_Swatches,43
Delete,Borrar,module,Magento_UrlRewrite,43
Delete,Borrar,module,Magento_Vault,43
Delete,Borrar,module,Magento_VersionsCms,43
Delete,Borrar,module,Magento_VisualMerchandiser,43
Delete,Borrar,module,Temando_Shipping,43
Delete,Borrar,module,Vertex_Tax,43
Delete,Borrar,module,Magento_GiftMessage,43
Delete,Borrar,module,Magento_ProductVideo,43
Delete,Borrar,module,Dotdigitalgroup_Email,43
Delete,Borrar,module,Magento_Backup,43
Delete,Borrar,module,Magento_GiftWrapping,43
Delete,Borrar,module,Magento_InventoryAdminUi,43
Delete,Borrar,module,Magento_Logging,43
Delete,Borrar,module,Magento_Newsletter,43
Delete,Borrar,module,Magento_PageBuilder,43
Delete,Borrar,module,Magento_ScheduledImportExport,43
Delete,Borrar,module,Magento_Wishlist,43
No,No,module,Magento_AdvancedCheckout,43
No,No,module,Magento_Backend,43
No,No,module,Magento_CatalogPermissions,43
No,No,module,Magento_CatalogSearch,43
No,No,module,Magento_Catalog,43
No,No,module,Magento_CompanyCredit,43
No,No,module,Magento_Config,43
No,No,module,Magento_CustomAttributeManagement,43
No,No,module,Magento_CustomerBalance,43
No,No,module,Magento_CustomerCustomAttributes,43
No,No,module,Magento_Customer,43
No,No,module,Magento_Downloadable,43
No,No,module,Magento_Eav,43
No,No,module,Magento_EncryptionKey,43
No,No,module,Magento_GiftCardAccount,43
No,No,module,Magento_GiftCard,43
No,No,module,Magento_GiftRegistry,43
No,No,module,Magento_GoogleTagManager,43
No,No,module,Magento_LayeredNavigation,43
No,No,module,Magento_NegotiableQuote,43
No,No,module,Magento_OfflineShipping,43
No,No,module,Magento_Payment,43
No,No,module,Magento_Paypal,43
No,No,module,Magento_Reminder,43
No,No,module,Magento_Reports,43
No,No,module,Magento_Rma,43
No,No,module,Magento_SalesRule,43
No,No,module,Magento_Sales,43
No,No,module,Magento_ScalableInventory,43
No,No,module,Magento_Search,43
No,No,module,Magento_SharedCatalog,43
No,No,module,Magento_Support,43
No,No,module,Magento_UrlRewrite,43
No,No,module,Magento_Usps,43
No,No,module,Magento_Variable,43
No,No,module,Magento_VersionsCms,43
No,No,module,Magento_VisualMerchandiser,43
No,No,module,Temando_Shipping,43
No,No,module,Magento_Ui,43
No,No,module,Magento_AdvancedSearch,43
No,No,module,Magento_CatalogRuleStaging,43
No,No,module,Magento_CatalogRule,43
no,No,module,Magento_Search,43
Name,Nombre,module,Fastly_Cdn,42
Name,Nombre,module,Magento_Backend,42
Name,Nombre,module,Magento_Bundle,42
name,Nombre,module,Magento_CatalogSearch,42
Name,Nombre,module,Magento_Catalog,42
name,Nombre,module,Magento_Catalog,42
Name,Nombre,module,Magento_ConfigurableProduct,42
Name,Nombre,module,Magento_Contact,42
Name,Nombre,module,Magento_Customer,42
Name,Nombre,module,Magento_GiftRegistry,42
Name,Nombre,module,Magento_GroupedProduct,42
Name,Nombre,module,Magento_Integration,42
Name,Nombre,module,Magento_MultipleWishlist,42
Name,Nombre,module,Magento_NegotiableQuote,42
Name,Nombre,module,Magento_Reports,42
Name,Nombre,module,Magento_Review,42
Name,Nombre,module,Magento_ScheduledImportExport,42
Name,Nombre,module,Magento_SendFriend,42
Name,Nombre,module,Magento_Support,42
Name,Nombre,module,Magento_Tax,42
Name,Nombre,module,Magento_UrlRewrite,42
name,Nombre,module,Magento_Widget,42
Name,Nombre,module,Magento_Backup,42
Name,Nombre,module,Magento_Banner,42
Name,Nombre,module,Magento_Braintree,42
Name,Nombre,module,Magento_BundleStaging,42
Name,Nombre,module,Magento_CatalogRuleStaging,42
Name,Nombre,module,Magento_CatalogStaging,42
Name,Nombre,module,Magento_CmsStaging,42
Name,Nombre,module,Magento_Company,42
Name,Nombre,module,Magento_ConfigurableProductStaging,42
Name,Nombre,module,Magento_CustomerSegment,42
Name,Nombre,module,Magento_GroupedProductStaging,42
Name,Nombre,module,Magento_InventoryAdminUi,42
Name,Nombre,module,Magento_InventoryCatalogAdminUi,42
Name,Nombre,module,Magento_Invitation,42
Name,Nombre,module,Magento_SalesRuleStaging,42
Name,Nombre,module,Magento_Sales,42
Name,Nombre,module,Magento_SharedCatalog,42
Name,Nombre,module,Magento_Variable,42
Name,Nombre,module,Magento_VisualMerchandiser,42
Name,Nombre,module,Temando_Shipping,42
Back,Atrás,module,Magento_AdvancedCheckout,40
Back,Atrás,module,Magento_AsynchronousOperations,40
Back,Atrás,module,Magento_Backend,40
Back,Atrás,module,Magento_Catalog,40
Back,Atrás,module,Magento_Cms,40
Back,Atrás,module,Magento_Company,40
Back,Atrás,module,Magento_CustomerCustomAttributes,40
Back,Atrás,module,Magento_CustomerSegment,40
Back,Atrás,module,Magento_Customer,40
Back,Atrás,module,Magento_Downloadable,40
Back,Atrás,module,Magento_Email,40
Back,Atrás,module,Magento_GiftRegistry,40
Back,Atrás,module,Magento_InventoryCatalogAdminUi,40
Back,Atrás,module,Magento_InventoryShippingAdminUi,40
Back,Atrás,module,Magento_Invitation,40
Back,Atrás,module,Magento_Logging,40
Back,Atrás,module,Magento_MultipleWishlist,40
Back,Atrás,module,Magento_NegotiableQuote,40
Back,Atrás,module,Magento_Newsletter,40
Back,Atrás,module,Magento_Paypal,40
Back,Atrás,module,Magento_Review,40
Back,Atrás,module,Magento_Reward,40
Back,Atrás,module,Magento_Rma,40
Back,Atrás,module,Magento_Sales,40
Back,Atrás,module,Magento_Search,40
Back,Atrás,module,Magento_SendFriend,40
Back,Atrás,module,Magento_SharedCatalog,40
Back,Atrás,module,Magento_Support,40
Back,Atrás,module,Magento_Tax,40
Back,Atrás,module,Magento_Theme,40
Back,Atrás,module,Magento_Ui,40
Back,Atrás,module,Magento_UrlRewrite,40
Back,Atrás,module,Magento_User,40
Back,Atrás,module,Magento_Wishlist,40
Back,Atrás,module,Temando_Shipping,40
Back,Atrás,module,Magento_Banner,40
Back,Atrás,module,Magento_CatalogRule,40
Back,Atrás,module,Magento_InventoryAdminUi,40
Back,Atrás,module,Magento_SalesRule,40
Back,Atrás,module,Magento_Staging,40
Cancel,Cancelar,module,Magento_AdvancedCheckout,38
Cancel,Cancelar,module,Magento_Backend,38
Cancel,Cancelar,module,Magento_BundleStaging,38
Cancel,Cancelar,module,Magento_Bundle,38
Cancel,Cancelar,module,Magento_Catalog,38
Cancel,Cancelar,module,Magento_Cms,38
Cancel,Cancelar,module,Magento_ConfigurableProduct,38
Cancel,Cancelar,module,Magento_CustomerCustomAttributes,38
Cancel,Cancelar,module,Magento_Customer,38
Cancel,Cancelar,module,Magento_GiftMessage,38
Cancel,Cancelar,module,Magento_GroupedProduct,38
Cancel,Cancelar,module,Magento_NegotiableQuote,38
Cancel,Cancelar,module,Magento_Newsletter,38
Cancel,Cancelar,module,Magento_PageBuilder,38
Cancel,Cancelar,module,Magento_Paypal,38
Cancel,Cancelar,module,Magento_Rma,38
Cancel,Cancelar,module,Magento_Sales,38
Cancel,Cancelar,module,Magento_SharedCatalog,38
Cancel,Cancelar,module,Magento_Shipping,38
Cancel,Cancelar,module,Magento_Staging,38
Cancel,Cancelar,module,Magento_Ui,38
Cancel,Cancelar,module,Magento_VersionsCms,38
Cancel,Cancelar,module,Magento_Widget,38
Cancel,Cancelar,module,Magento_B2b,38
Cancel,Cancelar,lib,lib/web/mage/adminhtml/backup.js,38
Cancel,Cancelar,lib,lib/web/mage/translate-inline-vde.js,38
Cancel,Cancelar,module,Fastly_Cdn,38
Cancel,Cancelar,module,Magento_CheckoutAddressSearch,38
Cancel,Cancelar,module,Magento_Checkout,38
Cancel,Cancelar,module,Magento_Company,38
Cancel,Cancelar,module,Magento_MultipleWishlist,38
Cancel,Cancelar,module,Magento_ProductVideo,38
Cancel,Cancelar,module,Magento_RequisitionList,38
Cancel,Cancelar,module,Magento_Variable,38
Cancel,Cancelar,module,Magento_Vault,38
Cancel,Cancelar,module,Magento_BannerPageBuilder,38
Cancel,Cancelar,module,Magento_Banner,38
Cancel,Cancelar,module,Magento_SalesArchive,38
Action,Acción,module,Fastly_Cdn,37
Action,Acción,module,Magento_AdvancedCheckout,37
Action,Acción,module,Magento_CatalogPermissions,37
Action,Acción,module,Magento_Catalog,37
Action,Acción,module,Magento_Cms,37
Action,Acción,module,Magento_Config,37
Action,Acción,module,Magento_CustomerBalance,37
Action,Acción,module,Magento_Customer,37
Action,Acción,module,Magento_GiftCardAccount,37
Action,Acción,module,Magento_GiftCard,37
Action,Acción,module,Magento_GiftRegistry,37
Action,Acción,module,Magento_Newsletter,37
Action,Acción,module,Magento_Review,37
Action,Acción,module,Magento_Rma,37
Action,Acción,module,Magento_Sales,37
Action,Acción,module,Magento_Shipping,37
Action,Acción,module,Magento_VisualMerchandiser,37
Action,Acción,module,Magento_Weee,37
Action,Acción,module,Temando_Shipping,37
Action,Acción,module,Magento_AdvancedSearch,37
Action,Acción,module,Magento_Backup,37
Action,Acción,module,Magento_CatalogEvent,37
Action,Acción,module,Magento_CatalogRuleStaging,37
Action,Acción,module,Magento_CatalogStaging,37
Action,Acción,module,Magento_CmsStaging,37
Action,Acción,module,Magento_Email,37
Action,Acción,module,Magento_GiftWrapping,37
Action,Acción,module,Magento_Logging,37
Action,Acción,module,Magento_Reports,37
Action,Acción,module,Magento_SalesRuleStaging,37
Action,Acción,module,Magento_ScheduledImportExport,37
Action,Acción,module,Magento_Search,37
Action,Acción,module,Magento_SharedCatalog,37
Action,Acción,module,Magento_Sitemap,37
Action,Acción,module,Magento_Ui,37
Action,Acción,module,Magento_UrlRewrite,37
Action,Acción,module,Magento_Wishlist,37
Yes,Sí,module,Magento_Backend,37
Yes,Sí,module,Magento_CatalogSearch,37
Yes,Sí,module,Magento_Catalog,37
Yes,Sí,module,Magento_CompanyCredit,37
Yes,Sí,module,Magento_Config,37
Yes,Sí,module,Magento_CustomAttributeManagement,37
Yes,Sí,module,Magento_CustomerCustomAttributes,37
Yes,Sí,module,Magento_Customer,37
Yes,Sí,module,Magento_Downloadable,37
Yes,Sí,module,Magento_Eav,37
Yes,Sí,module,Magento_EncryptionKey,37
Yes,Sí,module,Magento_GiftCardAccount,37
Yes,Sí,module,Magento_GiftCard,37
Yes,Sí,module,Magento_GiftRegistry,37
Yes,Sí,module,Magento_GoogleTagManager,37
Yes,Sí,module,Magento_NegotiableQuote,37
Yes,Sí,module,Magento_Payment,37
Yes,Sí,module,Magento_Paypal,37
Yes,Sí,module,Magento_Reminder,37
Yes,Sí,module,Magento_Reports,37
Yes,Sí,module,Magento_Rma,37
Yes,Sí,module,Magento_SalesRule,37
Yes,Sí,module,Magento_Sales,37
Yes,Sí,module,Magento_ScalableInventory,37
Yes,Sí,module,Magento_Search,37
Yes,Sí,module,Magento_SharedCatalog,37
Yes,Sí,module,Magento_Support,37
Yes,Sí,module,Magento_Usps,37
Yes,Sí,module,Magento_Variable,37
Yes,Sí,module,Magento_VersionsCms,37
Yes,Sí,module,Magento_VisualMerchandiser,37
Yes,Sí,module,Temando_Shipping,37
Yes,Sí,module,Magento_Ui,37
Yes,Sí,module,Magento_AdvancedSearch,37
Yes,Sí,module,Magento_CatalogRuleStaging,37
Yes,Sí,module,Magento_CatalogRule,37
yes,Sí,module,Magento_Search,37
Title,Título,module,Magento_Catalog,36
Title,Título,module,Magento_Cms,36
title,Título,module,Magento_Config,36
Title,Título,module,Magento_Downloadable,36
Title,Título,module,Magento_Email,36
title,Título,module,Magento_Integration,36
Title,Título,module,Magento_ProductVideo,36
Title,Título,module,Magento_Reports,36
Title,Título,module,Magento_Review,36
Title,Título,module,Magento_Rma,36
Title,Título,module,Magento_Sales,36
title,Título,module,Magento_Sales,36
Title,Título,module,Magento_Shipping,36
Title,Título,module,Magento_Support,36
Title,Título,module,Magento_UrlRewrite,36
Title,Título,module,Magento_VersionsCms,36
Title,Título,module,Temando_Shipping,36
Title,Título,module,Dotdigitalgroup_Email,36
Title,Título,module,Magento_AuthorizenetAcceptjs,36
Title,Título,module,Magento_Authorizenet,36
Title,Título,module,Magento_Braintree,36
Title,Título,module,Magento_CatalogWidget,36
Title,Título,module,Magento_CmsStaging,36
Title,Título,module,Magento_CompanyCredit,36
Title,Título,module,Magento_Cybersource,36
Title,Título,module,Magento_Dhl,36
Title,Título,module,Magento_Eway,36
Title,Título,module,Magento_Fedex,36
Title,Título,module,Magento_OfflinePayments,36
Title,Título,module,Magento_OfflineShipping,36
Title,Título,module,Magento_PageBuilder,36
Title,Título,module,Magento_Paypal,36
Title,Título,module,Magento_ReviewStaging,36
Title,Título,module,Magento_Ups,36
Title,Título,module,Magento_Usps,36
Title,Título,module,Magento_Worldpay,36
SKU,SKU,module,Magento_AdvancedCheckout,34
Sku,SKU,module,Magento_AdvancedCheckout,34
SKU,SKU,module,Magento_Bundle,34
SKU,SKU,module,Magento_CatalogRule,34
SKU,SKU,module,Magento_CatalogWidget,34
SKU,SKU,module,Magento_Catalog,34
SKU,SKU,module,Magento_ConfigurableProduct,34
SKU,SKU,module,Magento_Customer,34
SKU,SKU,module,Magento_Downloadable,34
SKU,SKU,module,Magento_GiftRegistry,34
SKU,SKU,module,Magento_GroupedProduct,34
SKU,SKU,module,Magento_NegotiableQuote,34
SKU,SKU,module,Magento_Reminder,34
SKU,SKU,module,Magento_Reports,34
SKU,SKU,module,Magento_RequisitionList,34
SKU,SKU,module,Magento_Review,34
SKU,SKU,module,Magento_Rma,34
SKU,SKU,module,Magento_Sales,34
